"","date","State","lat","long","death_rate","c_PercentChange","d_PercentChange","measure","value"
"62",2020-03-10,"Arkansas",34.9697,-92.3731,NA,NA,NA,"Recovered",0
"63",2020-03-10,"Colorado",39.0598,-105.3111,0,NA,NA,"Recovered",0
"64",2020-03-10,"Connecticut",41.5978,-72.7554,0,NA,NA,"Recovered",0
"65",2020-03-10,"Delaware",39.3185,-75.5071,NA,NA,NA,"Recovered",0
"66",2020-03-10,"District of Columbia",38.8974,-77.0268,0,NA,NA,"Recovered",0
"67",2020-03-10,"Florida",27.7663,-81.6868,0.133,NA,NA,"Recovered",0
"68",2020-03-10,"Georgia",33.0406,-83.6431,0,NA,NA,"Recovered",0
"69",2020-03-10,"Hawaii",21.0943,-157.4983,0,NA,NA,"Recovered",0
"70",2020-03-10,"Idaho",44.2405,-114.4788,NA,NA,NA,"Recovered",0
"71",2020-03-10,"Indiana",39.8494,-86.2583,0,NA,NA,"Recovered",0
"72",2020-03-10,"Iowa",42.0115,-93.2105,0,NA,NA,"Recovered",0
"73",2020-03-10,"Kansas",38.5266,-96.7265,0,NA,NA,"Recovered",0
"74",2020-03-10,"Kentucky",37.6681,-84.6701,0,NA,NA,"Recovered",0
"75",2020-03-10,"Louisiana",31.1695,-91.8678,0,NA,NA,"Recovered",0
"76",2020-03-10,"Maine",44.6939,-69.3819,NA,NA,NA,"Recovered",0
"77",2020-03-10,"Maryland",39.0639,-76.8021,0,NA,NA,"Recovered",0
"78",2020-03-10,"Michigan",43.3266,-84.5361,NA,NA,NA,"Recovered",0
"79",2020-03-10,"Minnesota",45.6945,-93.9002,0,NA,NA,"Recovered",0
"80",2020-03-10,"Mississippi",32.7416,-89.6787,NA,NA,NA,"Recovered",0
"81",2020-03-10,"Missouri",38.4561,-92.2884,0,NA,NA,"Recovered",0
"82",2020-03-10,"Montana",46.9219,-110.4544,NA,NA,NA,"Recovered",0
"83",2020-03-10,"Nebraska",41.1254,-98.2681,0,NA,NA,"Recovered",0
"84",2020-03-10,"Nevada",38.3135,-117.0554,0,NA,NA,"Recovered",0
"85",2020-03-10,"New Hampshire",43.4525,-71.5639,0,NA,NA,"Recovered",0
"86",2020-03-10,"New Jersey",40.2989,-74.521,0.067,NA,NA,"Recovered",0
"87",2020-03-10,"New Mexico",34.8405,-106.2485,NA,NA,NA,"Recovered",0
"88",2020-03-10,"New York",42.1657,-74.9481,0,NA,NA,"Recovered",0
"89",2020-03-10,"North Carolina",35.6301,-79.8064,0,NA,NA,"Recovered",0
"90",2020-03-10,"North Dakota",47.5289,-99.784,NA,NA,NA,"Recovered",0
"91",2020-03-10,"Ohio",40.3888,-82.7649,0,NA,NA,"Recovered",0
"92",2020-03-10,"Oklahoma",35.5653,-96.9289,0,NA,NA,"Recovered",0
"93",2020-03-10,"Oregon",44.572,-122.0709,0,NA,NA,"Recovered",0
"94",2020-03-10,"Pennsylvania",40.5908,-77.2098,0,NA,NA,"Recovered",0
"95",2020-03-10,"Rhode Island",41.6809,-71.5118,0,NA,NA,"Recovered",0
"96",2020-03-10,"South Carolina",33.8569,-80.945,0,NA,NA,"Recovered",0
"97",2020-03-10,"South Dakota",44.2998,-99.4388,NA,NA,NA,"Recovered",0
"98",2020-03-10,"Tennessee",35.7478,-86.6923,0,NA,NA,"Recovered",0
"99",2020-03-10,"Texas",31.0545,-97.5635,0,NA,NA,"Recovered",0
"100",2020-03-10,"Utah",40.15,-111.8624,0,NA,NA,"Recovered",0
"101",2020-03-10,"Vermont",44.0459,-72.7107,0,NA,NA,"Recovered",0
"102",2020-03-10,"Virginia",37.7693,-78.17,0,NA,NA,"Recovered",0
"103",2020-03-10,"West Virginia",38.4912,-80.9545,NA,NA,NA,"Recovered",0
"104",2020-03-10,"Wyoming",42.756,-107.3025,NA,NA,NA,"Recovered",0
"105",2020-03-10,"Alaska",61.3707,-152.4044,NA,NA,NA,"Deaths",0
"106",2020-03-10,"Arizona",33.7298,-111.4312,0,NA,NA,"Deaths",0
"107",2020-03-10,"Arkansas",34.9697,-92.3731,NA,NA,NA,"Deaths",0
"108",2020-03-10,"Colorado",39.0598,-105.3111,0,NA,NA,"Deaths",0
"109",2020-03-10,"Connecticut",41.5978,-72.7554,0,NA,NA,"Deaths",0
"110",2020-03-10,"Delaware",39.3185,-75.5071,NA,NA,NA,"Deaths",0
"111",2020-03-10,"District of Columbia",38.8974,-77.0268,0,NA,NA,"Deaths",0
"112",2020-03-10,"Georgia",33.0406,-83.6431,0,NA,NA,"Deaths",0
"113",2020-03-10,"Hawaii",21.0943,-157.4983,0,NA,NA,"Deaths",0
"114",2020-03-10,"Idaho",44.2405,-114.4788,NA,NA,NA,"Deaths",0
"115",2020-03-10,"Illinois",40.3495,-88.9861,0,NA,NA,"Deaths",0
"116",2020-03-10,"Indiana",39.8494,-86.2583,0,NA,NA,"Deaths",0
"117",2020-03-10,"Iowa",42.0115,-93.2105,0,NA,NA,"Deaths",0
"118",2020-03-10,"Kansas",38.5266,-96.7265,0,NA,NA,"Deaths",0
"119",2020-03-10,"Kentucky",37.6681,-84.6701,0,NA,NA,"Deaths",0
"120",2020-03-10,"Louisiana",31.1695,-91.8678,0,NA,NA,"Deaths",0
"121",2020-03-10,"Maine",44.6939,-69.3819,NA,NA,NA,"Deaths",0
"122",2020-03-10,"Maryland",39.0639,-76.8021,0,NA,NA,"Deaths",0
"123",2020-03-10,"Massachusetts",42.2302,-71.5301,0,NA,NA,"Deaths",0
"124",2020-03-10,"Michigan",43.3266,-84.5361,NA,NA,NA,"Deaths",0
"125",2020-03-10,"Minnesota",45.6945,-93.9002,0,NA,NA,"Deaths",0
"126",2020-03-10,"Mississippi",32.7416,-89.6787,NA,NA,NA,"Deaths",0
"127",2020-03-10,"Missouri",38.4561,-92.2884,0,NA,NA,"Deaths",0
"128",2020-03-10,"Montana",46.9219,-110.4544,NA,NA,NA,"Deaths",0
"129",2020-03-10,"Nebraska",41.1254,-98.2681,0,NA,NA,"Deaths",0
"130",2020-03-10,"Nevada",38.3135,-117.0554,0,NA,NA,"Deaths",0
"131",2020-03-10,"New Hampshire",43.4525,-71.5639,0,NA,NA,"Deaths",0
"132",2020-03-10,"New Mexico",34.8405,-106.2485,NA,NA,NA,"Deaths",0
"133",2020-03-10,"New York",42.1657,-74.9481,0,NA,NA,"Deaths",0
"134",2020-03-10,"North Carolina",35.6301,-79.8064,0,NA,NA,"Deaths",0
"135",2020-03-10,"North Dakota",47.5289,-99.784,NA,NA,NA,"Deaths",0
"136",2020-03-10,"Ohio",40.3888,-82.7649,0,NA,NA,"Deaths",0
